flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
18,"[0.029490557297822906, -0.0009324476700394713, -0.017898685519139285]",0.0011909253717065841,0.07478314738452663,1.8447000911692157e-05,0.0001434500009054318,1.4857998394290917e-05
19,"[-0.02086458659642943, 0.01658921327161624, -0.00440623631736696]",0.0007299478892955545,0.07167124768471493,1.993200021388475e-05,0.00024121400019794237,1.8401000488665886e-05
20,"[-0.0192079210431972, -0.011940585675606498, -0.004069465938169425]",0.0005280823701001179,0.06691442590289733,1.8431001080898568e-05,0.0001417740004399093,1.477699879615102e-05
21,"[-0.0192079210431972, -0.011940585675606498, -0.004069465938169425]",0.0005280823701001179,0.060985677215960904,1.8091001038555987e-05,0.00014348500008054543,1.2543998309411108e-05
22,"[-0.0192079210431972, -0.011940585675606498, -0.004069465938169425]",0.0005280823701001179,0.05841160223247863,1.8228000044473447e-05,0.0001424509991920786,1.3345999832381494e-05
23,"[-0.0192079210431972, -0.011940585675606498, -0.004069465938169425]",0.0005280823701001179,0.04620946223593358,2.050600051006768e-05,0.00021435499911603983,1.818799864850007e-05
24,"[-0.0192079210431972, -0.011940585675606498, -0.004069465938169425]",0.0005280823701001179,0.0424564165283506,2.2836999050923623e-05,0.00014017499961482827,1.4449002264882438e-05
25,"[-0.0192079210431972, -0.011940585675606498, -0.004069465938169425]",0.0005280823701001179,0.03459128017694375,1.8282000382896513e-05,0.00013899400073569268,1.495099968451541e-05
26,"[0.00789819654542067, -0.0028498805787579365, 0.01566174964046864]",0.00031579372978399623,0.032943780705760824,2.2575999537366442e-05,0.0001674939994700253,2.4548000510549173e-05
27,"[0.00789819654542067, -0.0028498805787579365, 0.01566174964046864]",0.00031579372978399623,0.032467988144332036,2.1838999600731768e-05,0.00013953300003777258,1.357200017082505e-05
28,"[0.00789819654542067, -0.0028498805787579365, 0.01566174964046864]",0.00031579372978399623,0.028748951377279012,1.999400046770461e-05,0.00017909499911183957,1.651599995966535e-05
29,"[0.00789819654542067, -0.0028498805787579365, 0.01566174964046864]",0.00031579372978399623,0.026375760088576936,2.1168998500797898e-05,0.00016157099889824167,1.8884002201957628e-05
30,"[0.001680516356543607, -0.00239663007455454, -0.0006310839533253572]",8.96623789501466e-06,0.02300383786418345,2.0713001504191197e-05,0.0001802120004867902,2.1183997887419537e-05
31,"[0.001680516356543607, -0.00239663007455454, -0.0006310839533253572]",8.96623789501466e-06,0.021452864800231283,2.0925999706378207e-05,0.00015277499915100634,1.9162000171490945e-05
32,"[0.001680516356543607, -0.00239663007455454, -0.0006310839533253572]",8.96623789501466e-06,0.01879763459561567,1.8880000425269827e-05,0.00013671600027009845,1.699199856375344e-05
33,"[0.001680516356543607, -0.00239663007455454, -0.0006310839533253572]",8.96623789501466e-06,0.015179326391688602,2.211199898738414e-05,0.0001644809999561403,2.3257000066223554e-05
34,"[0.001680516356543607, -0.00239663007455454, -0.0006310839533253572]",8.96623789501466e-06,0.012318948547062248,2.0175000827293843e-05,0.00013951199980510864,0.00027196799965167884
35,"[0.0002184671864500225, -0.0009696416002322332, 0.0005938476119898908]",1.3405877307224108e-06,0.012209957521993988,2.091999886033591e-05,0.00015142099982767832,2.8631002351175994e-05
36,"[0.0002184671864500225, -0.0009696416002322332, 0.0005938476119898908]",1.3405877307224108e-06,0.011183751507853619,1.867199898697436e-05,0.00013964999925519805,1.6646999938529916e-05
37,"[0.0002184671864500225, -0.0009696416002322332, 0.0005938476119898908]",1.3405877307224108e-06,0.011039910122127444,2.0675999621744268e-05,0.0003927329998987261,2.57459996646503e-05
38,"[0.0002184671864500225, -0.0009696416002322332, 0.0005938476119898908]",1.3405877307224108e-06,0.006793491282178412,2.081300044665113e-05,0.00014779500088479836,2.331100040464662e-05
39,"[0.0002184671864500225, -0.0009696416002322332, 0.0005938476119898908]",1.3405877307224108e-06,0.006476785847610123,1.9922001229133457e-05,0.00015472199993382674,2.7075997422798537e-05
40,"[0.0002184671864500225, -0.0009696416002322332, 0.0005938476119898908]",1.3405877307224108e-06,0.006476785847610123,1.8135999198420905e-05,0.00013650599976244848,1.4839000868960284e-05
41,"[0.0002184671864500225, -0.0009696416002322332, 0.0005938476119898908]",1.3405877307224108e-06,0.006391613229678413,2.022900116571691e-05,0.0001720590007607825,2.3555998268420808e-05
42,"[0.0002184671864500225, -0.0009696416002322332, 0.0005938476119898908]",1.3405877307224108e-06,0.006133000124285072,1.8343000192544423e-05,0.00013605800086224917,1.8012999134953134e-05
