inertia,cognitive_weight,social_weight,swarm_size,w,c1,c2,mode,objective_name,seeds,seed_count,best_seed,best_crumbs_mean,best_crumbs_min,total_seconds_mean,evaluation_seconds_mean,update_seconds_mean,overhead_seconds_mean,best_position
0.7,1.7,1.3,20,0.7,1.7,1.3,sequential,sphere,"7,8,9",3,7,8.437065528354614e-06,2.6793619553741426e-07,0.013666906999977376,0.0006162200000593051,0.0027668466664939237,0.010283840333424147,"[-0.0003981268495036362, -0.00033080388033051135]"
0.7,1.3,1.7,20,0.7,1.3,1.7,sequential,sphere,"7,8,9",3,8,1.2103433044789686e-05,4.9159526644241435e-06,0.016709101000022503,0.0004679616666862785,0.0036727703331583448,0.012568369000177881,"[-0.0021871656810816334, -0.00036367423324021515]"
0.7,1.7,1.7,20,0.7,1.7,1.7,sequential,sphere,"7,8,9",3,7,1.5793798702933333e-05,7.983008909878946e-07,0.37425027666665756,0.0005219263333628987,0.003581616666603319,0.3701467336666913,"[0.0006324206135318484, -0.0006311458298744396]"
0.7,1.3,2.1,20,0.7,1.3,2.1,sequential,sphere,"7,8,9",3,8,2.222141933262505e-05,1.3207391299911399e-05,0.01594919200003157,0.0004334116666010838,0.00315974533316421,0.012356035000266274,"[-0.0031646740920666487, 0.0017866810546131422]"
0.7,2.1,1.3,20,0.7,2.1,1.3,sequential,sphere,"7,8,9",3,7,6.11890699979862e-05,1.3933953649498308e-05,0.03846939099999721,0.0010562713333304903,0.0037234299999227005,0.033689689666744016,"[0.0033669945178604888, 0.0016116145836383225]"
0.7,2.1,1.7,20,0.7,2.1,1.7,sequential,sphere,"7,8,9",3,9,9.687642363963188e-05,3.673932958199775e-06,0.016259023666634675,0.0005819729999529955,0.0032135356665321524,0.012463515000149528,"[-0.0019102013707899823, 0.00015831513266850727]"
0.7,1.7,2.1,20,0.7,1.7,2.1,sequential,sphere,"7,8,9",3,9,0.00011000073597142472,4.574178097238473e-06,0.006070726333405219,0.0003765186668260867,0.001823620666793128,0.003870586999786004,"[0.0010568232315062986, 0.0018593823583617913]"
0.7,2.1,2.1,20,0.7,2.1,2.1,sequential,sphere,"7,8,9",3,8,0.0002998770134521774,6.406224830361364e-05,0.016678579333339865,0.0004893006665724897,0.00351703833321911,0.012672240333548265,"[0.0024639869914184903, -0.0076151832814275785]"
0.9,1.7,1.3,20,0.9,1.7,1.3,sequential,sphere,"7,8,9",3,8,0.0007337671473588624,0.0002490973438008778,0.05304605233334314,0.005275672666433214,0.006389612000210339,0.04138076766669959,"[-0.010648739589956824, 0.011649106787482204]"
0.9,1.3,1.7,20,0.9,1.3,1.7,sequential,sphere,"7,8,9",3,7,0.0012137016295155926,0.00041749364343484133,0.01399424399998376,0.001090758333324023,0.0034787536666650944,0.009424731999994643,"[-0.018899897464969673, -0.0077645037992439825]"
0.9,2.1,1.3,20,0.9,2.1,1.3,sequential,sphere,"7,8,9",3,9,0.0015219473631044656,0.00048247540206304584,0.013664978999978908,0.0004315873331961484,0.0028496429999525694,0.010383748666830192,"[0.021950976124633037, 0.0007937564102646344]"
0.9,2.1,1.7,20,0.9,2.1,1.7,sequential,sphere,"7,8,9",3,7,0.001596108335047838,0.0011318638039259856,0.04082175033336929,0.012744366000030519,0.005267618666456049,0.022809765666882715,"[-0.018915925113586418, -0.027821782491838587]"
0.9,1.7,1.7,20,0.9,1.7,1.7,sequential,sphere,"7,8,9",3,9,0.001609664155822908,0.0010664043452843909,0.029645937666638627,0.0008138836664481156,0.004068969666756554,0.024763084333433955,"[0.012786836854069117, -0.0300483135725087]"
